"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Title 2","Title 2 Length","Title 2 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://scalingsocials.com/","text/html; charset=UTF-8","200","OK","Indexable","","Home - Scaling Socials","22","204","","0","0","","0","0","","0","Unleash Your Brand's Potential with Scaling Socials!","52","","0","What We Do?","11","What We Have Achieved","21","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://scalingsocials.com/","","","","","","289114","51381","51381","7.615","","705","126","5.595","60.036","Normal","2.086","0","0","","150","16","0","100.000","68","18","0","10","3","0","","","","","8c65ddfd5acc694e3f3c832b46caee03","0.018","","","","","en-US","1.1","","","","","","https://scalingsocials.com/","2026-09-02 20:19:55"
"https://scalingsocials.com/wp-content/litespeed/css/2f893d463963acadca16471e79516405.css?ver=9d314","text/css","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","96860","96860","96860","14.355","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.143","Fri, 29 May 2026 06:22:27 GMT","","","","","1.1","","","","","","https://scalingsocials.com/wp-content/litespeed/css/2f893d463963acadca16471e79516405.css?ver=9d314","2026-09-02 20:19:56"
"https://scalingsocials.com/web-development/","text/html; charset=UTF-8","200","OK","Indexable","","Web development - Scaling Socials","33","309","","0","0","","0","0","","0","Our Services","12","Why Choose Scaling Socials for Website Design & Development?","60","Website Design & Development","28","Why Choose Shopify?","19","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://scalingsocials.com/web-development/","","","","","","214050","39652","39652","5.876","","387","72","5.375","40.049","Hard","1.941","1","1","","45","16","0","100.000","58","15","0","8","3","0","","","","","6d2e29b9a32adb865d5d45ce1ad3c9eb","0.071","","","","","en-US","1.1","","","","","","https://scalingsocials.com/web-development/","2026-09-02 20:19:56"
"https://scalingsocials.com/seo/","text/html; charset=UTF-8","200","OK","Indexable","","SEO - Scaling Socials","21","187","","0","0","","0","0","","0","Our SEO Services","16","Benefits of SEO Services","24","Search Engine Optimization","26","Our Approach","12","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://scalingsocials.com/seo/","","","","","","234194","43031","43031","6.377","","598","108","5.537","40.786","Hard","2.393","1","1","","45","16","0","100.000","58","15","0","8","3","0","","","","","8350b5e01215c41254e0ef3893d62ee6","0.075","","","","","en-US","1.1","","","","","","https://scalingsocials.com/seo/","2026-09-02 20:19:56"
"https://scalingsocials.com/about-us-2/","text/html; charset=UTF-8","200","OK","Indexable","","About Us - Scaling Socials","26","231","Scaling Socials Features","24","218","","0","0","","0","Building Digital Brands Beyond Limits","37","","0","Trusted by fast growing brands across India","43","Driving Digital Success With Creativity and Strategy","52","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://scalingsocials.com/about-us-2/","","","","","","208339","44211","44211","6.552","","353","65","5.431","48.659","Hard","1.836","1","1","","38","16","0","100.000","50","13","0","8","3","0","","","","","dd2c84fe2c5dfae81a14a46ad0856092","0.021","","","","","en-US","1.1","","","","","","https://scalingsocials.com/about-us-2/","2026-09-02 20:19:57"
"https://scalingsocials.com/performance-marketing-agency-bangalore/","text/html; charset=UTF-8","200","OK","Indexable","","Performance Marketing Agency In Bangalore| Best Performance Marketing Company","77","750","","0","0","ROI Driven performance marketing agency in Bangalore, helping business grow through google ads, meta ads, CRO and full funnel conversion strategies.","148","963","","0","Performance Marketing Agency In Bangalore","41","","0","Trusted by fast growing brands across India","43","Who We Are?","11","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://scalingsocials.com/performance-marketing-agency-bangalore/","","","","","","286013","52790","52790","7.823","","1359","251","5.414","61.024","Normal","3.592","1","1","","38","16","0","100.000","60","18","0","9","4","0","","","","","8267dacc01bdc4a14eb4b4dd7e1791e5","0.059","","","","","en-US","1.1","","","","","","https://scalingsocials.com/performance-marketing-agency-bangalore/","2026-09-02 20:19:56"
"https://scalingsocials.com/shopify-development-company-bangalore/","text/html; charset=UTF-8","200","OK","Indexable","","Shopify Web Design Services | Shopify Website Development Company","65","624","Animated Stats Section","22","208","Best shopify development company in Bangalore. custom store setup, theme customization, migration and performance optimization for growing brands. Hire Scaling Socials Today.","174","1146","","0","Leading Shopify Website Design and Development Company","54","Why Choose Shopify?","19","Trusted by fast growing brands across India","43","Why Your Shopify Store is Your Most Important Business Asset?","61","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://scalingsocials.com/shopify-development-company-bangalore/","","","","","","266933","53765","53765","7.968","","1488","241","6.174","47.742","Hard","4.326","1","1","","38","16","0","100.000","58","15","0","9","4","0","","","","","b648ef6ba4cdb2f2dce3db8dbfeec077","0.021","","","","","en-US","1.1","","","","","","https://scalingsocials.com/shopify-development-company-bangalore/","2026-09-02 20:19:56"
"https://scalingsocials.com/elementor-6312/","text/html; charset=UTF-8","200","OK","Indexable","","Our Team - Scaling Socials","26","238","","0","0","","0","0","","0","Our Team","8","","0","The Leaders Behind the Growth","29","Your Growth Starts With the Right Team","38","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://scalingsocials.com/elementor-6312/","","","","","","197387","36516","36516","5.412","","251","44","5.705","53.079","Fairly Hard","1.542","1","1","","46","16","0","100.000","58","13","0","8","3","0","","","","","7c134a4c4b461b9a54b8fec59f52e968","0.021","","","","","en-US","1.1","","","","","","https://scalingsocials.com/elementor-6312/","2026-09-02 20:19:57"
"https://scalingsocials.com/shopify-web-development/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","7","6","0","37.500","0","0","0","0","0","0","","","","","","1.112","","","","","","1.1","","","","","","https://scalingsocials.com/shopify-web-development/","2026-09-02 20:19:56"
"https://scalingsocials.com/₹1-million-in-90-days/","text/html; charset=UTF-8","200","OK","Indexable","","₹1 Million in 90 Days - Scaling Socials","39","333","","0","0","","0","0","","0","","0","","0","₹1 Million in 90 Days","21","Discover How Style and Success Intersect: Understanding the Streetwear Phenomenon","81","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://scalingsocials.com/₹1-million-in-90-days/","","","","","","207720","39111","39111","5.796","","456","90","5.067","55.683","Fairly Hard","2.175","1","1","","14","5","0","31.250","55","16","0","8","3","0","","","","","89cd55fee6a0ff8ba7caba22a8e0b8ea","0.058","","","","","en-US","1.1","","","","","","https://scalingsocials.com/%E2%82%B91-million-in-90-days/","2026-09-02 20:19:57"
